DATE,MORTGAGE15US
2021-08-05,2.1
2021-08-12,2.15
2021-08-19,2.16
2021-08-26,2.17
2021-09-02,2.18
2021-09-09,2.19
2021-09-16,2.12
2021-09-23,2.15
2021-09-30,2.28
2021-10-07,2.23
2021-10-14,2.3
2021-10-21,2.33
2021-10-28,2.37
2021-11-04,2.35
2021-11-10,2.27
2021-11-18,2.39
2021-11-24,2.42
2021-12-02,2.39
2021-12-09,2.38
2021-12-16,2.34
2021-12-23,2.3
2021-12-30,2.33
2022-01-06,2.43
2022-01-13,2.62
2022-01-20,2.79
2022-01-27,2.8
2022-02-03,2.77
2022-02-10,2.93
2022-02-17,3.15
2022-02-24,3.14
2022-03-03,3.01
2022-03-10,3.09
2022-03-17,3.39
2022-03-24,3.63
2022-03-31,3.83
2022-04-07,3.91
2022-04-14,4.17
2022-04-21,4.38
2022-04-28,4.4
2022-05-05,4.52
2022-05-12,4.48
2022-05-19,4.43
2022-05-26,4.31
2022-06-02,4.32
2022-06-09,4.38
2022-06-16,4.81
2022-06-23,4.92
2022-06-30,4.83
2022-07-07,4.45
2022-07-14,4.67
2022-07-21,4.75
2022-07-28,4.58
2022-08-04,4.26
2022-08-11,4.59
2022-08-18,4.55
2022-08-25,4.85
2022-09-01,4.98
2022-09-08,5.16
2022-09-15,5.21
2022-09-22,5.44
2022-09-29,5.96
2022-10-06,5.9
2022-10-13,6.09
2022-10-20,6.23
2022-10-27,6.36
2022-11-03,6.29
2022-11-10,6.38
